"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
493,262144,-3.678167e+01,1.365905e+00
383,512,-4.919554e+01,2.233341e+00
393,262144,-3.987469e+01,7.246398e-01
423,524288,-3.940842e+01,1.078872e+00
453,512,-3.540522e+01,7.369406e-01
423,64,-4.003932e+01,2.130732e+00
343,131072,-4.459744e+01,1.337474e-01
463,131072,-3.316783e+01,2.080560e+00
463,262144,-3.317899e+01,3.263699e+00
393,48,-4.327063e+01,4.709085e+00
413,8192,-3.852567e+01,1.752029e-01
413,4096,-4.030894e+01,2.888681e-01
493,128,-2.569237e+01,2.944722e-01
433,131072,-3.659785e+01,7.079471e-01
413,512,-4.238078e+01,1.293155e+00
343,32768,-5.518513e+01,9.245712e-01
463,128,-3.061428e+01,5.628954e-01
373,8192,-4.975850e+01,4.098744e-01
453,65536,-3.447408e+01,5.058238e-01
433,128,-3.474957e+01,8.358195e-01
463,8192,-3.381328e+01,1.053551e-01
393,2048,-4.753048e+01,5.095249e-01
483,512,-3.078681e+01,1.642556e-01
363,512,-5.380380e+01,4.832641e+00
383,256,-4.729406e+01,2.678933e+00
473,48,-2.656829e+01,1.275378e+00
443,48,-3.384549e+01,3.169558e+00
433,64,-3.687982e+01,9.384798e-01
383,2048,-5.007685e+01,4.771519e-01
423,65536,-3.762330e+01,5.513741e-01
373,131072,-4.176109e+01,1.217240e-01
413,2048,-4.259946e+01,2.648298e-01
493,131072,-3.118420e+01,3.411453e+00
353,65536,-4.372243e+01,1.108691e-01
373,1024,-5.076589e+01,2.066428e+00
403,512,-4.332312e+01,9.745556e-01
413,24,-3.909271e+01,3.271091e+00
443,524288,-3.414942e+01,1.416733e-01
473,24,-2.817416e+01,2.261763e+00
463,64,-2.895084e+01,1.212579e+00
363,128,-4.962017e+01,5.775093e-01
463,48,-2.735942e+01,1.843372e+00
403,128,-4.287981e+01,1.856206e+00
433,4096,-3.706204e+01,1.322850e-01
403,48,-4.471278e+01,2.610630e+00
473,64,-2.588475e+01,9.035333e-01
353,256,-6.022329e+01,6.827314e+00
433,1024,-3.909663e+01,4.138788e-01
473,262144,-3.587869e+01,2.181589e+00
443,128,-3.302596e+01,1.055489e+00
383,524288,-3.923976e+01,3.354733e+00
403,8192,-3.967161e+01,1.626967e-01
483,256,-2.913064e+01,4.531080e-01
483,128,-2.661044e+01,2.320115e-01
373,32768,-4.186388e+01,1.062861e-01
473,128,-2.871624e+01,6.859614e-01
493,1024,-3.219833e+01,1.036490e-01
413,65536,-3.812962e+01,2.176216e-01
433,262144,-3.635281e+01,2.722676e+00
423,24,-3.888172e+01,2.543249e+00
433,16384,-3.635888e+01,1.204112e-01
483,262144,-3.328260e+01,1.213030e+00
353,4096,-5.592098e+01,1.186689e+00
443,8192,-3.555309e+01,1.945673e-01
493,2048,-3.147193e+01,1.209872e-01
403,4096,-4.267607e+01,3.740778e-01
373,262144,-4.169723e+01,8.655555e-01
493,24,-2.117395e+01,1.395229e+00
483,64,-2.503651e+01,5.390553e-01
403,1024,-4.379823e+01,8.690747e-01
453,1024,-3.589044e+01,1.266625e-01
423,128,-3.845775e+01,1.231628e+00
493,256,-2.779033e+01,3.223314e-01
423,16384,-3.725776e+01,1.074845e-01
383,32768,-4.085897e+01,1.130599e-01
423,8192,-3.730876e+01,1.342496e-01
463,512,-3.348082e+01,2.249183e-01
483,24,-2.324101e+01,2.300991e+00
453,256,-3.364060e+01,4.692908e-01
443,512,-3.700995e+01,4.908335e-01
473,32768,-3.276951e+01,4.175775e-01
393,256,-4.495700e+01,2.093810e+00
343,65536,-4.680200e+01,3.654608e+00
413,262144,-3.782979e+01,8.840183e-01
453,8192,-3.462381e+01,1.112613e-01
473,512,-3.139841e+01,2.078020e-01
463,256,-3.191109e+01,3.826023e-01
393,65536,-3.994058e+01,2.119126e-01
423,4096,-3.854081e+01,3.253412e-01
453,32768,-3.457865e+01,2.241962e-01
373,16384,-4.255020e+01,2.702401e-01
383,65536,-4.092173e+01,1.110666e-01
463,2048,-3.474135e+01,2.306547e-01
353,524288,-4.351657e+01,7.040254e-01
393,128,-4.353246e+01,1.925023e+00
363,4096,-5.415471e+01,9.753723e-01
383,1024,-4.894689e+01,1.850541e+00
403,262144,-3.880870e+01,1.081398e+00
393,32768,-3.997470e+01,1.009217e-01
453,16384,-3.454987e+01,8.403392e-02
343,1024,-5.869559e+01,3.582782e+00
483,2048,-3.239784e+01,1.467581e-01
443,131072,-3.525795e+01,1.129151e+00
363,65536,-4.271378e+01,1.004769e-01
493,65536,-3.077647e+01,7.178414e-01
493,64,-2.281295e+01,4.470147e-01
433,512,-3.841948e+01,8.182930e-01
353,2048,-5.582204e+01,2.472396e+00
403,65536,-3.908298e+01,4.122098e-01
463,16384,-3.379831e+01,8.431082e-02
363,8192,-5.313812e+01,4.737668e-01
373,524288,-4.183162e+01,1.285019e+00
383,8192,-4.588852e+01,6.694996e-01
433,524288,-3.591611e+01,3.611795e+00
433,32768,-3.626006e+01,9.913201e-02
383,262144,-4.036419e+01,5.445487e-01
373,65536,-4.172327e+01,5.869632e-02
393,1024,-4.672980e+01,6.505682e-01
413,131072,-3.816122e+01,4.866556e-01
413,128,-3.968713e+01,1.486701e+00
363,1024,-5.404532e+01,1.474693e+00
493,8192,-3.130947e+01,1.065710e-01
403,2048,-4.514493e+01,4.148361e-01
433,48,-3.685018e+01,1.898007e+00
463,32768,-3.371555e+01,2.356910e-01
383,16384,-4.131701e+01,4.364888e-01
443,16384,-3.550798e+01,8.283707e-02
363,131072,-4.259074e+01,1.411033e-01
413,32768,-3.804115e+01,9.054652e-02
343,8192,-5.939291e+01,9.930981e-01
483,4096,-3.209802e+01,1.058900e-01
393,4096,-4.690730e+01,2.773128e-01
473,131072,-3.309481e+01,1.377841e+00
353,128,-4.601207e+01,0.000000e+00
483,16384,-3.203783e+01,1.603562e-01
353,32768,-4.732411e+01,2.160644e+00
383,128,-5.259337e+01,3.806768e+00
363,256,-5.505007e+01,2.197842e+00
393,512,-4.713851e+01,1.773280e+00
423,262144,-3.621990e+01,1.345293e+00
423,256,-3.842547e+01,9.299836e-01
473,2048,-3.353284e+01,1.251951e-01
353,16384,-5.531562e+01,6.541931e-01
353,262144,-4.340100e+01,2.178978e-01
493,32768,-3.095051e+01,5.295475e-01
363,32768,-4.291069e+01,9.116362e-02
403,16384,-3.911001e+01,9.068617e-02
423,131072,-3.702072e+01,1.075149e+00
373,128,-5.093708e+01,1.664278e+00
383,48,-3.131254e+01,0.000000e+00
403,256,-4.402647e+01,1.581478e+00
383,4096,-4.978940e+01,6.681838e-01
363,2048,-5.266783e+01,1.083165e+00
463,65536,-3.358691e+01,6.057236e-01
443,262144,-3.357157e+01,2.312119e+00
373,256,-5.292124e+01,6.522294e+00
433,8192,-3.640626e+01,1.430496e-01
433,24,-3.507872e+01,4.184033e+00
413,16384,-3.817047e+01,1.113706e-01
383,131072,-4.071638e+01,3.193138e-01
463,4096,-3.387302e+01,1.218810e-01
433,2048,-3.888260e+01,1.005116e-01
473,4096,-3.299747e+01,1.139716e-01
403,32768,-3.899086e+01,1.384116e-01
483,32768,-3.204922e+01,4.593511e-01
403,131072,-3.935823e+01,5.665768e-01
473,1024,-3.432775e+01,6.281629e-02
483,65536,-3.233555e+01,7.901181e-01
483,131072,-3.182766e+01,2.802933e+00
423,48,-3.880609e+01,3.480013e+00
413,256,-4.051934e+01,1.681215e+00
463,24,-2.898302e+01,2.740021e+00
403,524288,-3.673158e+01,2.366649e+00
393,64,-4.713452e+01,7.435405e-01
373,2048,-5.097488e+01,6.490683e-01
473,65536,-3.298477e+01,4.683451e-01
453,4096,-3.485047e+01,6.396034e-02
413,64,-4.249032e+01,3.406633e+00
343,262144,-4.460012e+01,1.571431e-01
363,262144,-4.239648e+01,2.662477e-01
453,131072,-3.450460e+01,7.890985e-01
473,256,-3.105908e+01,5.624951e-01
493,512,-3.040176e+01,4.794574e-02
453,64,-3.123561e+01,1.500819e+00
443,64,-3.423617e+01,1.607815e+00
453,524288,-3.831541e+01,3.518810e+00
443,256,-3.541449e+01,5.121344e-01
453,2048,-3.589358e+01,1.603128e-01
393,131072,-3.988166e+01,3.733500e-01
453,128,-3.059722e+01,8.541707e-01
423,1024,-4.140338e+01,5.556098e-01
343,4096,-5.984492e+01,2.045641e+00
423,32768,-3.728128e+01,8.320056e-02
453,48,-3.056772e+01,1.623581e+00
443,24,-3.357842e+01,2.031118e+00
403,64,-4.737389e+01,7.099527e+00
453,262144,-3.365211e+01,2.523532e+00
493,4096,-3.130106e+01,8.585557e-02
373,4096,-5.144875e+01,6.475072e-01
493,48,-2.221447e+01,8.428464e-01
373,512,-5.113839e+01,3.328479e+00
473,16384,-3.296326e+01,1.594881e-01
423,2048,-4.035953e+01,3.067118e-01
463,1024,-3.507198e+01,8.837321e-02
443,65536,-3.560500e+01,5.217718e-01
443,1024,-3.677694e+01,3.271019e-01
443,4096,-3.586583e+01,1.328796e-01
493,16384,-3.117375e+01,3.054333e-01
393,524288,-3.867439e+01,1.931703e+00
373,48,-5.064000e+01,0.000000e+00
453,24,-3.150941e+01,2.890624e+00
483,8192,-3.213442e+01,4.910609e-02
433,256,-3.622414e+01,8.398497e-01
353,1024,-5.926146e+01,6.489284e+00
433,65536,-3.624532e+01,4.066876e-01
443,32768,-3.544320e+01,1.386007e-01
343,524288,-4.454652e+01,4.103361e-01
473,8192,-3.297631e+01,2.003983e-01
483,48,-2.384543e+01,1.527339e+00
413,48,-4.219928e+01,1.739602e+00
363,524288,-4.215347e+01,6.971989e-01
353,131072,-4.366995e+01,2.168848e-01
343,16384,-5.781248e+01,4.540842e-01
463,524288,-4.321210e+01,1.473618e+00
393,8192,-4.143238e+01,4.914620e-01
423,512,-4.002443e+01,4.106382e-01
343,2048,-5.874413e+01,3.333655e+00
353,512,-5.499067e+01,2.067840e+00
413,524288,-3.823421e+01,1.281514e+00
413,1024,-4.321789e+01,3.561739e-01
363,16384,-4.956086e+01,9.217679e-01
353,8192,-5.660667e+01,7.399122e-01
443,2048,-3.749029e+01,1.358714e-01
483,1024,-3.327886e+01,1.035022e-01
393,16384,-4.010777e+01,2.008690e-01
