"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
353,256,-9.300827e+01,1.625172e+00
383,128,-9.045558e+01,2.103066e+00
363,4096,-8.847493e+01,4.216498e-01
393,128,-8.809548e+01,4.515267e+00
343,48,-8.803429e+01,0.000000e+00
403,48,-8.992371e+01,1.415761e+00
403,512,-8.780591e+01,8.686804e-01
373,262144,-8.013871e+01,8.102405e+00
363,64,-9.373121e+01,6.445320e+00
393,256,-8.971639e+01,1.043420e+00
373,8192,-6.571841e+01,6.969425e-01
423,2048,-6.666530e+01,6.949258e-01
483,16384,-6.044083e+01,2.426637e+00
383,512,-9.029820e+01,6.263314e-01
413,64,-8.872866e+01,9.055742e-01
443,16384,-6.216407e+01,8.097948e-01
433,262144,-8.551966e+01,0.000000e+00
353,4096,-9.019976e+01,5.524885e-01
493,512,-6.704226e+01,2.023796e-01
353,524288,-5.514175e+01,1.877910e+01
373,128,-8.977743e+01,5.374886e+00
423,128,-8.641736e+01,1.544449e+00
493,16384,-6.111368e+01,2.990155e+00
393,512,-8.936436e+01,1.268720e+00
443,262144,-3.718130e+01,0.000000e+00
453,64,-8.468902e+01,9.349759e-01
393,2048,-8.426285e+01,7.295424e-01
343,16384,-7.233558e+01,4.536324e+00
363,1024,-8.974256e+01,8.066797e-01
343,8192,-9.026118e+01,4.916764e-01
483,4096,-6.054076e+01,2.605723e-01
423,64,-8.725667e+01,5.973985e-01
403,8192,-6.284103e+01,2.754660e-01
373,24,-9.330505e+01,2.747965e+00
403,4096,-6.421795e+01,5.734675e-01
343,2048,-9.140187e+01,2.049822e+00
443,256,-8.405175e+01,5.004104e-01
463,32768,-6.048074e+01,2.447297e+00
363,32768,-6.451185e+01,4.599312e-01
373,16384,-6.391268e+01,5.138833e-01
353,131072,-6.549737e+01,3.395852e+00
373,512,-9.114384e+01,6.744179e-01
353,65536,-6.483343e+01,1.282073e+00
403,64,-8.846632e+01,1.901128e+00
383,16384,-6.363820e+01,7.581337e-01
473,1024,-6.315706e+01,3.463683e-01
413,48,-8.725275e+01,2.153241e+00
343,512,-9.146330e+01,2.967096e+00
403,32768,-6.326254e+01,1.721405e+00
423,131072,-5.428980e+01,2.171889e+00
463,16384,-6.071504e+01,1.550447e+00
493,24,-8.159345e+01,5.782865e-01
433,131072,-5.611688e+01,1.027247e+01
373,64,-9.434443e+01,3.226029e+00
443,512,-8.194623e+01,4.112256e-01
403,1024,-8.603840e+01,6.269747e-01
383,2048,-8.681162e+01,9.247708e-01
453,128,-8.455847e+01,6.456749e-01
433,64,-8.689373e+01,6.576802e-01
373,48,-9.195407e+01,3.146885e+00
353,32768,-6.619966e+01,3.053416e+00
373,2048,-8.935744e+01,1.159110e+00
413,24,-8.921078e+01,4.472136e+00
373,256,-9.170596e+01,1.153155e+00
363,2048,-9.007772e+01,1.284414e+00
493,2048,-6.017068e+01,2.797083e-01
453,48,-8.476753e+01,9.982021e-01
433,16384,-6.150182e+01,8.662409e-01
423,32768,-6.102937e+01,2.070770e+00
413,2048,-7.055719e+01,3.262577e-01
453,4096,-6.128318e+01,2.598790e-01
433,48,-8.688728e+01,9.041923e-01
493,4096,-6.008568e+01,5.502413e-01
493,1024,-6.113941e+01,1.890158e-01
383,262144,-6.925188e+01,6.640921e+00
383,131072,-6.198785e+01,5.628081e+00
423,4096,-6.271019e+01,3.208913e-01
363,128,-9.260360e+01,1.813920e+00
453,65536,-6.184153e+01,1.308426e+01
353,2048,-9.175414e+01,7.031875e-01
383,4096,-7.201581e+01,1.819276e+00
473,128,-8.261507e+01,7.698428e-01
363,24,-9.946001e+01,6.398976e+00
463,1024,-6.537506e+01,5.128541e-01
353,128,-9.404522e+01,3.698252e+00
443,32768,-6.219234e+01,4.082041e+00
433,24,-8.678458e+01,1.781237e+00
413,65536,-6.250836e+01,5.147048e+00
353,8192,-8.431333e+01,2.375660e+00
383,1024,-9.003506e+01,8.898594e-01
343,524288,-6.161911e+01,6.536310e+00
483,32768,-6.181073e+01,3.490579e+00
463,8192,-6.068249e+01,3.026720e-01
403,128,-8.779196e+01,1.204487e+00
393,64,-8.905901e+01,1.119792e+00
363,262144,-7.184822e+01,1.272605e+01
413,512,-8.659964e+01,6.673675e-01
483,512,-7.024535e+01,3.363144e-01
433,32768,-6.176723e+01,2.740354e+00
423,256,-8.723582e+01,5.717280e-01
383,24,-9.072026e+01,5.721910e+00
393,8192,-6.347365e+01,5.260920e-01
343,32768,-6.610530e+01,7.470525e-01
453,24,-8.526555e+01,1.285067e+00
443,65536,-6.139996e+01,9.510077e+00
493,65536,-6.680494e+01,0.000000e+00
403,24,-8.908485e+01,2.497149e+00
393,131072,-6.267422e+01,9.407966e+00
433,2048,-6.401864e+01,6.266927e-01
433,128,-8.600548e+01,1.152941e+00
393,32768,-6.377379e+01,1.651272e+00
423,16384,-6.195223e+01,1.073167e+00
383,64,-9.076433e+01,1.455191e+00
413,4096,-6.311610e+01,4.433386e-01
343,262144,-6.903587e+01,6.607872e+00
393,48,-8.837356e+01,6.484068e+00
433,1024,-7.653463e+01,6.459627e-01
473,32768,-5.883347e+01,5.443096e+00
393,65536,-6.461842e+01,3.916222e+00
373,65536,-6.467970e+01,1.790929e+00
493,32768,-6.689754e+01,7.050348e+00
463,2048,-6.162910e+01,3.482395e-01
423,1024,-8.086750e+01,6.971867e-01
403,262144,-5.269551e+01,0.000000e+00
393,24,-8.699931e+01,4.099531e+00
433,4096,-6.177382e+01,2.874091e-01
463,64,-8.445347e+01,6.036404e-01
423,24,-8.762585e+01,1.945663e+00
453,512,-7.952420e+01,5.713596e-01
473,48,-8.309182e+01,9.655362e-01
443,4096,-6.166812e+01,3.535252e-01
443,2048,-6.287646e+01,3.591765e-01
443,1024,-7.165471e+01,9.364135e-01
483,256,-7.891570e+01,1.673344e-01
473,256,-8.057940e+01,4.203779e-01
473,24,-8.272883e+01,1.341371e+00
423,48,-8.682078e+01,1.435625e+00
463,65536,-5.639664e+01,6.503850e+00
463,256,-8.224791e+01,4.742115e-01
453,32768,-6.031174e+01,4.859423e+00
373,131072,-6.505906e+01,1.389282e+00
423,512,-8.500032e+01,4.414257e-01
363,65536,-6.426138e+01,1.860024e+00
493,128,-8.036337e+01,4.231193e-01
423,65536,-6.294038e+01,3.475055e+00
353,262144,-6.247930e+01,7.852986e+00
463,4096,-6.119005e+01,2.088427e-01
343,256,-9.355620e+01,1.907585e+00
393,4096,-6.622900e+01,5.629951e-01
413,8192,-6.255640e+01,2.079385e-01
433,8192,-6.195592e+01,3.628479e-01
463,24,-8.318350e+01,3.881808e+00
393,16384,-6.328990e+01,3.728190e-01
453,1024,-6.801922e+01,5.164940e-01
473,8192,-6.075655e+01,5.147815e-01
413,1024,-8.369460e+01,4.288956e-01
393,1024,-8.801221e+01,7.814891e-01
483,64,-8.275209e+01,4.436937e-01
343,4096,-9.237169e+01,6.046933e-01
343,128,-9.723874e+01,8.462801e+00
363,8192,-7.058673e+01,4.117719e+00
363,131072,-6.196125e+01,3.178237e+00
363,48,-9.036742e+01,2.089121e+00
443,64,-8.558876e+01,1.040280e+00
473,131072,-7.443291e+01,1.260786e+00
413,16384,-6.254437e+01,8.423073e-01
353,64,-9.014478e+01,6.784785e+00
483,2048,-6.075516e+01,3.558348e-01
463,128,-8.402426e+01,4.615641e-01
453,256,-8.318330e+01,6.751351e-01
443,8192,-6.171914e+01,4.241244e-01
383,48,-8.999543e+01,2.655724e+00
473,4096,-6.071213e+01,3.894672e-01
483,131072,-9.307926e+01,0.000000e+00
493,48,-8.180775e+01,8.176561e-01
413,128,-8.601719e+01,3.752679e+00
483,8192,-6.030536e+01,8.354942e-01
423,8192,-6.222111e+01,3.320728e-01
343,64,-1.014751e+02,7.781299e+00
403,524288,-7.234557e+01,6.763535e+00
363,16384,-6.502590e+01,4.356504e-01
353,24,-9.601861e+01,0.000000e+00
443,48,-8.583368e+01,5.788533e-01
373,32768,-6.407284e+01,4.880026e-01
363,256,-9.262280e+01,6.170755e-01
373,524288,-6.738551e+01,0.000000e+00
463,48,-8.385076e+01,7.514519e-01
483,128,-8.179312e+01,8.600570e-01
443,131072,-5.833010e+01,0.000000e+00
473,2048,-6.101368e+01,3.114766e-01
483,65536,-6.343215e+01,4.065525e+00
443,128,-8.549395e+01,4.706189e-01
403,65536,-6.202740e+01,3.687704e+00
453,16384,-6.088044e+01,1.224059e+00
403,2048,-7.831350e+01,8.702558e-01
373,4096,-8.243698e+01,1.338921e+00
383,8192,-6.409483e+01,3.815933e-01
343,65536,-6.551072e+01,1.136750e+00
433,65536,-5.794368e+01,5.142988e+00
483,1024,-6.197433e+01,3.639863e-01
453,2048,-6.188274e+01,2.615205e-01
453,8192,-6.104234e+01,1.731648e-01
353,48,-9.387160e+01,1.904173e+00
473,65536,-6.728091e+01,7.775599e+00
483,24,-8.283047e+01,7.583164e-01
483,48,-8.321292e+01,4.123364e-01
413,131072,-6.274868e+01,3.456320e+00
353,16384,-6.631496e+01,1.185493e+00
353,1024,-9.132189e+01,2.411528e+00
403,256,-8.852519e+01,1.162137e+00
413,256,-8.770708e+01,8.399520e-01
433,512,-8.402287e+01,4.181694e-01
413,32768,-6.312171e+01,2.226307e+00
403,16384,-6.304033e+01,9.445120e-01
383,32768,-6.320362e+01,5.701996e-01
493,256,-7.697375e+01,2.844377e-01
353,512,-9.236960e+01,1.298116e+00
343,1024,-9.307027e+01,1.868611e+00
383,256,-9.011732e+01,5.851082e-01
383,65536,-6.487957e+01,3.109804e+00
343,131072,-6.617331e+01,2.057003e+00
443,24,-8.614210e+01,8.130344e-01
393,262144,-7.384445e+01,0.000000e+00
463,512,-7.646296e+01,5.238643e-01
403,131072,-6.373098e+01,7.218123e+00
473,16384,-6.054662e+01,1.548115e+00
473,64,-8.319547e+01,6.174729e-01
363,512,-9.039315e+01,2.415716e+00
493,8192,-6.047706e+01,1.183129e+00
493,64,-8.200975e+01,8.240876e-01
373,1024,-8.986150e+01,1.421855e+00
433,256,-8.567186e+01,7.731524e-01
473,512,-7.337688e+01,2.333974e-01
453,262144,-4.559989e+01,0.000000e+00
